food_item,category,calories,rice_bowl_equivalent,portion_size,source,source_file
Kuih Apam Balik,Traditional Malaysian Kuih,282.0,1.5,1 piece,health.family.my - Malaysian Food Calories Breakfast & Teatime,kuih_apam_balik.json
"Kuih Koci, Pulut Putih",Traditional Malaysian Kuih,183.0,0.9,1 piece,health.family.my - Malaysian Food Calories Breakfast & Teatime,kuih_koci_pulut_putih.json
Kuih Talam Seri Kaya,Traditional Malaysian Kuih,183.0,0.9,1 piece,health.family.my - Malaysian Food Calories Breakfast & Teatime,kuih_talam_seri_kaya.json
Langsat,Fruits,31.0,0.2,10 pieces,health.family.my - Malaysian Food Calories Breakfast & Teatime,langsat.json
Lor Mee,Noodles,383.0,2.0,1 bowl,health.family.my - Malaysian Food Calories Breakfast & Teatime,lor_mee.json
Mamak Mee Goreng,Noodles,660.0,3.0,1 plate,health.family.my - Malaysian Food Calories Breakfast & Teatime,mamak_mee_goreng.json
Mango,Fruits,67.0,0.3,1/2 large fruit,health.family.my - Malaysian Food Calories Breakfast & Teatime,mango.json
Mee Hailam,Noodles,277.0,1.0,1 plate,health.family.my - Malaysian Food Calories Breakfast & Teatime,mee_hailam.json
Mee Rebus,Noodles,556.0,2.5,1 plate,health.family.my - Malaysian Food Calories Breakfast & Teatime,mee_rebus.json
"Murtabak, Mutton","Bread, Crackers, and Cakes",722.0,3.5,1 piece,health.family.my - Malaysian Food Calories Breakfast & Teatime,murtabak_mutton.json
Nasi Lemak (gravy added),Noodles,644.0,3.0,1 plate,health.family.my - Malaysian Food Calories Breakfast & Teatime,nasi_lemak_gravy_added.json
Noodle Soup,Noodles,381.0,2.0,1 bowl,health.family.my - Malaysian Food Calories Breakfast & Teatime,noodle_soup.json
"Oatmeal, Plain",Miscellaneous,225.0,1.0,1 bowl,health.family.my - Malaysian Food Calories Breakfast & Teatime,oatmeal_plain.json
"Oatmeal, with Fat Milk",Miscellaneous,356.0,1.5,1 bowl,health.family.my - Malaysian Food Calories Breakfast & Teatime,oatmeal_with_fat_milk.json
Papadam,"Bread, Crackers, and Cakes",26.0,0.1,1 piece,health.family.my - Malaysian Food Calories Breakfast & Teatime,papadam.json
Papaya,Fruits,56.0,0.3,1 slice,health.family.my - Malaysian Food Calories Breakfast & Teatime,papaya.json
Peanut Butter,Spreads,33.0,0.2,1 teaspoon,health.family.my - Malaysian Food Calories Breakfast & Teatime,peanut_butter.json
Penang Laksa,Noodles,436.0,2.0,1 bowl,health.family.my - Malaysian Food Calories Breakfast & Teatime,penang_laksa.json
Pisang Goreng,Traditional Malaysian Kuih,129.0,0.6,1 piece,health.family.my - Malaysian Food Calories Breakfast & Teatime,pisang_goreng.json
Plain Bread,"Bread, Crackers, and Cakes",75.0,0.4,1 slice,health.family.my - Malaysian Food Calories Breakfast & Teatime,plain_bread.json
Plain Roti Canai & Dhal,"Bread, Crackers, and Cakes",359.0,1.5,1 piece + 1/2 cup dhal,health.family.my - Malaysian Food Calories Breakfast & Teatime,plain_roti_canai_dhal.json
Prawn Mee Soup,Noodles,293.0,1.5,1 bowl,health.family.my - Malaysian Food Calories Breakfast & Teatime,prawn_mee_soup.json
Red Bean Bun,"Bread, Crackers, and Cakes",223.0,1.0,1 piece,health.family.my - Malaysian Food Calories Breakfast & Teatime,red_bean_bun.json
Roti Telur & Dhal,"Bread, Crackers, and Cakes",414.0,2.0,1 piece + 1/2 cup dhal,health.family.my - Malaysian Food Calories Breakfast & Teatime,roti_telur_dhal.json
"Sandwiches, Sardine","Bread, Crackers, and Cakes",71.0,0.3,1 piece,health.family.my - Malaysian Food Calories Breakfast & Teatime,sandwiches_sardine.json
Siew Mai,Miscellaneous,105.0,0.5,1 piece,health.family.my - Malaysian Food Calories Breakfast & Teatime,siew_mai.json
Vadai,Traditional Malaysian Kuih,194.0,0.9,1 piece,health.family.my - Malaysian Food Calories Breakfast & Teatime,vadai.json
Wanton Mee Dry,Noodles,409.0,2.0,1 plate,health.family.my - Malaysian Food Calories Breakfast & Teatime,wanton_mee_dry.json
Wanton Mee Soup,Noodles,217.0,1.0,1 bowl,health.family.my - Malaysian Food Calories Breakfast & Teatime,wanton_mee_soup.json
Watermelon,Fruits,60.0,0.3,1 small slice,health.family.my - Malaysian Food Calories Breakfast & Teatime,watermelon.json
Yam Cake,Traditional Malaysian Kuih,174.0,0.8,1 piece,health.family.my - Malaysian Food Calories Breakfast & Teatime,yam_cake.json
Yau Char Kueh,Traditional Malaysian Kuih,292.0,1.5,1 piece,health.family.my - Malaysian Food Calories Breakfast & Teatime,yau_char_kueh.json
